GENE_SYMBOL,ctrl,ctrl,ctrl,mod,mod,mod
TUG1,10.29177833,10.08599115,10.41176139,10.33465876,10.28311067,10.74783871
NR2F1-AS1,5.877025172,5.977851966,5.910578133,5.776536767,5.868231332,5.696199317
IPW,6.213916291,6.186361595,6.259500888,5.948517069,6.047061249,5.696199317
SEC14L1,9.07775987,8.666835143,8.183312743,8.316569166,9.539140776,9.532117909
FLJ46906,6.072090164,6.007179145,6.087386751,6.035419353,6.015422684,5.996630517
ZMIZ1-AS1,8.985522751,7.944435893,7.890815706,7.201164595,8.57936168,8.882662653
FLJ32255,10.66927167,10.39991491,9.56054162,9.362712493,10.71455033,10.45852598
NBAT1,6.12561242,6.277519609,6.164576255,6.280306529,6.113459092,6.394707409
CA5BP1,9.50919105,9.401097378,9.347657715,8.710592397,9.348125819,9.027086458
MIAT,5.9419611,6.025139231,6.07795982,6.091805284,5.924896962,6.119222454
ZNF519,5.961408004,5.977851966,5.934162273,5.976870596,5.999274913,5.996630517
CTD-3080P12.3,6.054150446,6.130268705,6.114113827,6.148657852,6.015422684,6.163311527
ZNF876P,5.841882949,5.968008097,5.863283267,5.934802557,5.896738564,5.874076417
MIATNB,7.135826376,6.930559769,7.072618653,7.283597584,6.790427435,6.670757187
FLJ46906,6.506423532,6.62128768,6.709044208,7.00982845,6.780919147,6.569106721
PCAT19,7.01948731,7.102290536,6.954486973,6.955085082,6.730397149,7.0797208
MDM4,11.58976849,11.58782404,11.7380286,12.12345331,11.96555523,12.20722245
SRP14-AS1,6.213916291,6.668043926,6.568259942,6.329699984,6.145487923,5.996630517
CDYL2,7.781757707,8.097810092,8.073288438,8.242081785,7.678398825,7.640136351
MIR143HG,5.961408004,6.202123531,6.020955803,6.064226621,5.984051854,5.924218326
SNHG11,6.31388043,6.482006716,6.585767127,6.616212525,6.363408641,6.24576971
UBA6-AS1,6.459934824,6.482006716,6.460356182,6.377681278,6.389652591,5.978113552
FAM200B,7.879797555,7.805177179,8.206089817,8.234642892,8.076009978,8.736181993
STMN1,7.447667621,5.937125414,5.898674442,5.86384962,5.812112834,5.924218326
KLF13,6.938512469,6.5043364,6.164576255,6.119815308,6.624382719,6.601940317
FAM200B,8.055541892,7.917146052,7.83458382,8.504021545,8.013210911,8.685697365
PVT1,6.665305247,6.475420532,6.597690561,6.503246262,6.441888677,6.01656921
TIAM2,6.551197156,6.603551947,6.870760826,6.921339235,6.881760562,7.039365435
KC6,5.723935248,5.808807715,5.813432792,5.86384962,5.782913898,5.840552812
CRYBG3,7.615040927,7.864411594,7.371303575,7.619218989,7.84304606,7.909940126
NEAT1,12.97144694,12.74501563,13.37808299,12.71992643,13.1041816,12.4620251
CCDC171,8.712976416,8.464251023,7.66618331,8.328056109,8.859985027,8.723653581
HCG18,10.09047256,10.3910878,10.23084647,9.696894246,9.838329378,9.740054152
SNHG5,11.15529666,12.35570602,10.74835279,9.40337574,10.8390097,11.35041949
C7orf71,5.910166928,5.937125414,5.910578133,5.892581487,5.882345737,5.996630517
BPESC1,5.961408004,5.856327349,5.910578133,5.86384962,5.924896962,5.978113552
DLEU1,7.396304953,7.227712056,6.77304479,7.069614554,7.44104103,7.669720174
C14orf132,6.536396866,6.813625272,6.347956392,6.107313924,6.416393162,6.036675687
DDAH1,6.349574798,5.808807715,5.910578133,5.892581487,5.882345737,5.858247127
MIR100HG,6.248076373,6.210051752,6.095366565,6.020670127,6.258532103,6.430798746
IPW,6.179894579,6.090837995,6.050299239,5.963523321,6.218490296,6.057186885
BLCAP,6.430631508,6.383839782,6.347956392,6.492940193,6.363408641,6.430798746
TDRG1,10.38023762,10.32718288,9.338056619,9.734742251,10.45738893,10.4069361
GDNF-AS1,6.196851203,5.997017804,5.838429243,5.948517069,5.868231332,5.742836117
MIAT,5.961408004,6.098738651,6.067917994,6.035419353,5.896738564,5.891332024
SNHG17,8.376153238,7.673046431,7.839100191,7.55258665,7.501501583,8.232561332
ZNF124,6.036612896,6.090837995,6.106237319,6.064226621,5.882345737,5.959157076
FENDRR,5.830845335,5.856327349,5.887437872,5.892581487,5.839941257,5.907765895
ZSWIM6,9.65463728,9.120065616,9.059894815,9.739576881,9.497824726,10.05372518
AOX2P,5.961408004,6.075455909,5.956238888,6.119815308,6.015422684,5.959157076
MAGI2-AS3,5.806526395,5.672311276,5.813432792,5.83561703,5.812112834,5.774956783
FENDRR,5.865830106,5.937125414,5.898674442,5.892581487,5.753876715,5.959157076
STXBP5-AS1,6.445771379,6.255594865,6.56214405,6.567108393,6.602534285,7.478734835
OXR1,6.803512859,5.808807715,5.910578133,5.877936662,5.868231332,5.891332024
FENDRR,5.85468998,5.844109082,5.813432792,5.877936662,5.868231332,5.924218326
TSTD3,7.206546801,6.887586012,7.228289462,6.425461452,5.999274913,6.119222454
CRNDE,6.009676349,5.977851966,5.887437872,5.920343993,5.812112834,5.924218326
MIAT,6.365859717,6.709260885,6.377011906,6.503246262,6.311728585,6.036675687
KIAA1671,5.830845335,5.903158455,5.838429243,5.86384962,5.825803519,5.793579982
RPS6KA5,7.348873422,7.391280291,7.790543895,6.768779612,7.536835438,7.623458149
EWSAT1,5.898674442,5.937125414,5.956238888,6.091805284,6.174483166,5.996630517
ERVMER34-1,6.746110983,7.11003938,7.313731595,7.308228364,6.730397149,6.569106721
